Latitude,Longitude,Food,Shop & Service,Professional & Other Places,Residence,Travel & Transport,Nightlife Spot,Outdoors & Recreation,College & University,Arts & Entertainment,Event
45.078277720013226,7.692360877990723,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0
45.078277720013226,7.694506645202637,1.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
45.078277720013226,7.696652412414551,3.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,0.0
45.078277720013226,7.698798179626465,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.078277720013226,7.700943946838379,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
45.078277720013226,7.703089714050293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45.07678645943775,7.662320137023926,3.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
45.07678645943775,7.66446590423584,5.0,4.0,1.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0
45.07678645943775,7.666611671447754,3.0,6.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
45.07678645943775,7.668757438659668,5.0,6.0,3.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0
45.07678645943775,7.670903205871582,8.0,7.0,7.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0
45.07678645943775,7.673048973083496,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
45.07678645943775,7.67519474029541,5.0,4.0,4.0,5.0,4.0,1.0,0.0,0.0,7.0,0.0
45.07678645943775,7.677340507507324,5.0,2.0,5.0,3.0,6.0,2.0,0.0,0.0,2.0,0.0
45.07678645943775,7.679486274719238,9.0,3.0,2.0,3.0,2.0,7.0,2.0,0.0,1.0,0.0
45.07678645943775,7.681632041931152,16.0,1.0,2.0,3.0,0.0,6.0,1.0,0.0,1.0,0.0
45.07678645943775,7.683777809143066,6.0,9.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
45.07678645943775,7.6859235763549805,4.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
45.07678645943775,7.6880693435668945,3.0,3.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
45.07678645943775,7.690215110778809,1.0,3.0,6.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
45.07678645943775,7.692360877990723,5.0,1.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0
45.07678645943775,7.694506645202637,6.0,8.0,2.0,6.0,1.0,2.0,2.0,0.0,2.0,0.0
45.07678645943775,7.696652412414551,2.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0
45.07678645943775,7.698798179626465,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
45.07678645943775,7.700943946838379,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
45.07678645943775,7.703089714050293,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45.07529519886227,7.662320137023926,1.0,9.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0
45.07529519886227,7.66446590423584,6.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
45.07529519886227,7.666611671447754,5.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
45.07529519886227,7.668757438659668,8.0,3.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0
45.07529519886227,7.670903205871582,11.0,8.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
45.07529519886227,7.673048973083496,9.0,11.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
45.07529519886227,7.67519474029541,8.0,10.0,4.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0
45.07529519886227,7.677340507507324,9.0,9.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0
45.07529519886227,7.679486274719238,8.0,6.0,2.0,3.0,1.0,6.0,1.0,0.0,3.0,0.0
45.07529519886227,7.681632041931152,10.0,4.0,1.0,4.0,0.0,5.0,3.0,1.0,1.0,0.0
45.07529519886227,7.683777809143066,7.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0
45.07529519886227,7.6859235763549805,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0
45.07529519886227,7.6880693435668945,2.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
45.07529519886227,7.690215110778809,2.0,3.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0
45.07529519886227,7.692360877990723,2.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
45.07529519886227,7.694506645202637,7.0,6.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0
45.07529519886227,7.696652412414551,2.0,5.0,4.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0
45.07529519886227,7.698798179626465,2.0,1.0,2.0,5.0,0.0,2.0,2.0,0.0,2.0,0.0
45.07529519886227,7.700943946838379,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
45.07529519886227,7.703089714050293,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
45.073803938286794,7.662320137023926,10.0,12.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
45.073803938286794,7.66446590423584,11.0,9.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
45.073803938286794,7.666611671447754,5.0,5.0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0
45.073803938286794,7.668757438659668,7.0,3.0,4.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0
45.073803938286794,7.670903205871582,6.0,4.0,4.0,4.0,1.0,2.0,0.0,5.0,2.0,0.0
45.073803938286794,7.673048973083496,4.0,6.0,7.0,5.0,2.0,1.0,0.0,0.0,4.0,0.0
45.073803938286794,7.67519474029541,2.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,0.0
45.073803938286794,7.677340507507324,10.0,11.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0
45.073803938286794,7.679486274719238,11.0,9.0,2.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0
45.073803938286794,7.681632041931152,16.0,3.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0
45.073803938286794,7.683777809143066,10.0,1.0,10.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0
45.073803938286794,7.6859235763549805,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
45.073803938286794,7.6880693435668945,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
45.073803938286794,7.690215110778809,3.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
45.073803938286794,7.692360877990723,3.0,3.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
45.073803938286794,7.694506645202637,7.0,7.0,3.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0
45.073803938286794,7.696652412414551,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
45.073803938286794,7.698798179626465,1.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
45.073803938286794,7.700943946838379,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
45.073803938286794,7.703089714050293,1.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0
45.07231267771132,7.662320137023926,6.0,7.0,8.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
45.07231267771132,7.66446590423584,7.0,3.0,2.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0
45.07231267771132,7.666611671447754,5.0,3.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0
